USSA > Fri Jul 07 08:00:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Tue Jul 11 15:43:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Tue Jul 11 16:04:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[4]
USSA > Tue Jul 11 16:06:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Tue Jul 11 16:21:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Tue Jul 11 16:25:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Tue Jul 11 17:36:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[3]
USSA > Tue Jul 11 17:39:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Tue Jul 11 17:50:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[15]
USSA > Tue Jul 11 17:53:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Tue Jul 11 17:56:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Tue Jul 11 17:57:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Tue Jul 11 18:27:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[3]
USSA > Tue Jul 11 18:28:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Tue Jul 11 18:32:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[5]
USSA > Tue Jul 11 18:33:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai4]
USSA > Tue Jul 11 18:39:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai4], reason code=[4]
USSA > Tue Jul 11 18:42:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Tue Jul 11 18:52:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[15]
USSA > Tue Jul 11 18:55:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai4]
USSA > Tue Jul 11 19:08:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai4], reason code=[1]
USSA > Tue Jul 11 19:10:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Tue Jul 11 19:15:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[1]
USSA > Tue Jul 11 19:17:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai4]
USSA > Tue Jul 11 20:17:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai4], reason code=[3]
USSA > Tue Jul 11 20:21:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Tue Jul 11 20:39:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[23]
USSA > Tue Jul 11 20:41:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai0]
USSA > Tue Jul 11 20:51:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[15]
USSA > Tue Jul 11 20:56:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai4]
USSA > Tue Jul 11 21:03:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai4], reason code=[5]
USSA > Tue Jul 11 21:07:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Tue Jul 11 21:35:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[4]
USSA > Tue Jul 11 21:37:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai4]
USSA > Tue Jul 11 21:42:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai4], reason code=[3]
USSA > Tue Jul 11 21:46:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Tue Jul 11 21:49:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[23]
USSA > Tue Jul 11 21:51:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai0]
USSA > Tue Jul 11 22:13:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[1]
USSA > Tue Jul 11 22:16:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Tue Jul 11 22:46:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[3]
USSA > Tue Jul 11 22:47:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai4]
USSA > Tue Jul 11 22:57:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai4], reason code=[4]
USSA > Tue Jul 11 23:00:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Tue Jul 11 23:06:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[3]
USSA > Tue Jul 11 23:10:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Tue Jul 11 23:30:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[1]
USSA > Tue Jul 11 23:32:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai0]
USSA > Tue Jul 11 23:35:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai0], reason code=[23]
USSA > Tue Jul 11 23:37:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Tue Jul 11 23:44:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[1]
USSA > Tue Jul 11 23:47:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Wed Jul 12 00:39:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[3]
USSA > Wed Jul 12 00:42:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Wed Jul 12 01:05:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[4]
USSA > Wed Jul 12 01:08:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Wed Jul 12 01:18:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[5]
USSA > Wed Jul 12 01:23:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Wed Jul 12 01:42:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[5]
USSA > Wed Jul 12 01:46:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Wed Jul 12 02:13:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul 12 02:14:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai4]
USSA > Wed Jul 12 02:26:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai4], reason code=[23]
USSA > Wed Jul 12 02:29:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Wed Jul 12 02:59:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul 12 03:01:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Wed Jul 12 03:42:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[3]
USSA > Wed Jul 12 03:47:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai0]
USSA > Wed Jul 12 05:31:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai0], reason code=[4]
USSA > Wed Jul 12 05:34:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai4]
USSA > Wed Jul 12 05:43:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul 12 05:47:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Wed Jul 12 06:08:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[4]
USSA > Wed Jul 12 06:10:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Wed Jul 12 06:16:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul 12 06:21:00 | NOTICE  | reason=[1], oldCh->newCh=[11]->[1], oldBw->newBw=[40MHz]->[40MHz], oldTxPower->newTxPower=[19.009869]->[13.385876]
USSA > Wed Jul 12 06:22:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Wed Jul 12 06:42:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[1]
